Opened,Name,City,State,City,Address
3/24/2017,Bryan Dairy & Starkey,Largo,Florida,StPetersburg,"Bryan Dairy & Starkey, Largo, Florida"
3/24/2017,Lakeline Blvd & Crystal Falls Pkwy,Leander,Texas,Austin,"Lakeline Blvd & Crystal Falls Pkwy, Leander, Texas"
3/24/2017,Capital Circle SE & Blair Stone Rd,Tallahassee,Florida,Panhandle,"Capital Circle SE & Blair Stone Rd, Tallahassee, Florida"
3/24/2017,Van Nuys & Hortense,Van Nuys,California,LosAngeles,"Van Nuys & Hortense, Van Nuys, California"
3/24/2017,NW Hwy & Ferndale,Dallas,Texas,DallasFortWorth,"NW Hwy & Ferndale, Dallas, Texas"
3/20/2017,281 & Thousand Oaks,San Antonio,Texas,SanAntonio,"281 & Thousand Oaks, San Antonio, Texas"
3/19/2017,159-27 Jamaica Ave.,Jamaica,NewYork,NewYorkCity,"159-27 Jamaica Ave., Jamaica, NewYork"
3/18/2017,1670 Broadway,Denver,Colorado,Denver,"1670 Broadway, Denver, Colorado"
3/17/2017,1812 Ashland,Baltimore City,Maryland,Baltimore,"1812 Ashland, Baltimore City, Maryland"
3/17/2017,E 21st Street & Mike Oatman Drive,Wichita,Kansas,Wichita,"E 21st Street & Mike Oatman Drive, Wichita, Kansas"
3/17/2017,Front & Berkeley,Toronto,Ontario,Toronto,"Front & Berkeley, Toronto, Ontario"
3/17/2017,"Westlake, Crocker Park",Westlake,Ohio,Cleveland,"Westlake, Crocker Park, Westlake, Ohio"
3/16/2017,191st & LaGrange,Mokena,Illinois,Chicagoland,"191st & LaGrange, Mokena, Illinois"
3/16/2017,Loveland-Madeira and Kemper,Cincinnati,Ohio,Cincinnati,"Loveland-Madeira and Kemper, Cincinnati, Ohio"
3/16/2017,41 Boulevard de la Cite-des-Jeunes,Vaudreuil,Quebec,Montreal,"41 Boulevard de la Cite-des-Jeunes, Vaudreuil, Quebec"
3/16/2017,Banff Avenue,Banff,Alberta,AlbertaRemoteMarkets,"Banff Avenue, Banff, Alberta"
3/16/2017,W. Jefferson & Mallard Cove,Fort Wayne,Indiana,FortWayne,"W. Jefferson & Mallard Cove, Fort Wayne, Indiana"
3/16/2017,North Ave & Kirk Rd,St. Charles,Illinois,Chicagoland,"North Ave & Kirk Rd, St. Charles, Illinois"
3/15/2017,John Hancock Center,Chicago,Illinois,Chicagoland,"John Hancock Center, Chicago, Illinois"
3/13/2017,Durango - Main and 28th,Durango,Colorado,ColoradoRemoteMarkets,"Durango - Main and 28th, Durango, Colorado"
3/11/2017,Northwest Highway & Colfax,Palatine,Illinois,Chicagoland,"Northwest Highway & Colfax, Palatine, Illinois"
3/10/2017,2566 North Elston Ave,Chicago,Illinois,Chicagoland,"2566 North Elston Ave, Chicago, Illinois"
3/10/2017,Stadium District Tacoma,Tacoma,Washington,Tacoma,"Stadium District Tacoma, Tacoma, Washington"
3/10/2017,Village Center & Yorba Linda Blvd,Yorba Linda,California,OrangeCounty,"Village Center & Yorba Linda Blvd, Yorba Linda, California"
